Personaje
Arthur Dent
Arya Stark
Batman
Black Panther
Buffy Summers
Captain America
Daredevil
Darth Vader
Dracula
Elizabeth Bennet
Ellen Ripley
Frodo Bolson
Gandalf
Geralt de Rivia
Goku
Hannibal Lecter
Harry Potter
Hermione Granger
Indiana Jones
Iron Man
Jack Sparrow
James Bond
John Wick
Jon Snow
Katniss Everdeen
Lara Croft
Legolas
Leia Organa
Lisbeth Salander
Luke Skywalker
Mad Max
Mario Bros
Maximus Decimus Meridius
Michael Corleone
Mickey Mouse
Morpheus (The Matrix)
Naruto Uzumaki
Neo
Rick Sanchez
Sarah Connor
Sherlock Holmes
Simba
Sonic the Hedgehog
Spider-Man
Spock
Superman
Terminator
The Joker
Tyrion Lannister
Vito Corleone
Walter White
Winnie the Pooh
Wonder Woman
Yoda
